Date,kermit,sally,maia,phoebe,brat,paris,bingo
Date,kermit,sally,maia,phoebe,brat,paris,bingo
2024-09-22 00:00:00,1,2,1,1,0,0,0
2024-09-23 00:00:00,1,2,1,0,0,0,0
2024-09-24 00:00:00,1,2,2,1,0,0,0
2024-09-26 00:00:00,1,1,1,0,0,0,0
2024-09-27 00:00:00,1,0,0,0,0,0,0
2024-09-28 00:00:00,1,1,0,1,1,0,0
2024-09-29 00:00:00,0,1,0,0,0,0,0
2024-09-30 00:00:00,1,1,2,0,1,0,0
2024-10-01 00:00:00,1,2,2,0,2,0,0
2024-10-02 00:00:00,0,0,1,0,1,0,0
2024-10-03 00:00:00,0,2,2,1,1,0,0
2024-10-04 00:00:00,0,1,1,3,0,0,0
2024-10-05 00:00:00,2,0,0,1,1,0,0
2024-10-06 00:00:00,2,0,2,0,0,0,0
2024-10-07 00:00:00,0,3,0,0,0,1,0
2024-10-08 00:00:00,1,0,2,0,1,0,0
2024-10-09 00:00:00,1,3,2,1,1,2,0
2024-10-10 00:00:00,1,3,2,1,0,1,0
2024-10-11 00:00:00,1,4,1,0,1,1,0
2024-10-12 00:00:00,0,1,0,0,0,0,0
2024-10-13 00:00:00,4,4,0,2,1,2,0
2024-10-14 00:00:00,0,0,0,1,1,0,0
2024-10-21 00:00:00,1,0,0,0,0,0,0
2024-11-06 00:00:00,3,1,3,0,1,3,1
2024-11-07 00:00:00,5,7,6,2,3,5,2
2024-11-08 00:00:00,2,3,0,0,0,1,0
2024-11-09 00:00:00,2,3,1,2,1,1,0
2024-11-10 00:00:00,1,2,0,1,2,0,0
2024-11-11 00:00:00,2,0,2,1,0,0,0
